帕莎蒂娜驳二仓库餐厅 & 帕莎蒂娜烘焙坊,地址:高雄市盐埕区大勇路1号 ,5311106
金禾别苑欧法雅厨,地址:高雄市苓雅区厦门街6号 ,2222133
Oh!握咖啡,地址:鼓山区滨海二路五号 ,5337377
古典玫瑰园,地址:高雄市鼓山区莲海路20号 ,9561069
Le bon marché 好市集手作料理,地址:高雄市鼓山区鼓山一路19号 ,+886-7-5326899
海天下海产餐厅,地址:高雄市新兴区林森二路188号 ,2810651
鼎王麻辣锅,地址:高雄市新兴区七贤二路16号 ,2862557
汉来海港自助餐厅,地址:前金区高雄市前金区成功一路266号43楼 ,2135762
王品牛排,地址:高雄市新兴区中正三路88号 ,+886-7-2363536
无老锅,地址:高雄市苓雅区三多三路236号 ,3385959
六合夜市原住民豬肋排,地址:高雄市新興區 六合二路60號高雄六合夜市,
駁二魏記食府,地址:盐埕区必信街61号 ,5511094
My Cofi 哈玛星,地址:804台湾高雄市鼓山區鼓元街57號 ,+886-7-5318600
港园牛肉面,地址:高雄市盐埕区大成街55号 ,+886-5613842
鸭肉珍,地址:鹽埕區五福四路258號 ,5314630
逸之牛,地址:800台湾高雄市新兴区南台路66号 ,+886-072853221
大尾面线,地址:鼓山區濱海一路91號,
万全肉圆,地址:鼓山区临海一路1号 ,5330498
高雄大碗公,地址:鼓山区轮渡站附近,
郑老牌木瓜牛奶,地址:高雄市左营区六合二路1号 ,2863074
正忠排骨饭,地址:高雄市新兴区中山一路300号 ,2368199
南丰鲁肉饭,地址:高雄市苓雅区自强三路139号 ,+886-7-3312289
渡船头海之冰,地址:鼓山区滨海一路76号 ,5513773
牛老二牛肉面馆,地址:高雄市苓雅区兴中二路83号 ,+886-3342513
老江红茶牛奶,地址:高雄市新兴区南台路51号,
逐鹿日式炭火烧肉,地址:高雄市苓雅区三多四路39号 ,+886-7-3355533
春水堂人文茶馆,地址:高雄市左营区高铁路123号3F ,3503948
大牛牛肉面,地址:高雄市苓雅区四维三路96号 ,+886-7-3308646
吴宝春麦方店,地址:高雄市苓雅区四维三路19号 ,+886-3359593
三牛牛肉面,地址:高雄市左营区胜利路85号 ,+886-7-5887264
海港自助餐厅,地址:左营区博爱二路767号5F ,5555113
港园牛肉面,地址:高雄市前金区自强三路248号 ,+886-2215595
飨食天堂,地址:802台湾高雄市苓雅區三多四路21號 ,+886-7-3322068
鼎泰丰,地址:高雄市左营区博爱二路777号B1 ,+886-7-5533312
不二家,地址:左營區站前北路1號2F,
鸭角活海产,地址:旗津区庙前路22号 ,5716325
J cafe,地址:髙雄市前金區中華三路6號(城市光廊） ,2721999
国民市场鱼丸料理,地址:新兴区林森一路243号 ,2360867
原乡牛肉拉面店,地址:新兴区林森一路272号之1 ,2357121
刘家酸白菜火锅,地址:前金区中华三路248号 ,2857899
高雄婆婆冰,地址:高雄市盐埕区七贤三路135号 ,5616567
兴隆居,地址:801台湾高雄市前金区六合二路186号 ,2616787
锦华茶叶行,地址:新兴区南台路121号1楼 ,+886-7-2879557
50岚,地址:三民区建国二路273号 ,2868580
野村日式碳火烧肉,地址:高雄市前金区中山二路575号 ,2812000
阿部平价海鲜烧烤,地址:高雄市苓雅区自强三路75号 ,+886-7-2692131
美迪亚汉堡,地址:前金区六合二路124号 ,2862900
天使鸡排,地址:新兴区新田路168号,
老乾杯,地址:前鎮區中華五路789號號 2 樓,
鼎王麻辣锅,"地址:明華一路191號 左營區, 高雄市 813 Taiwan ",+886 7 5507668
卡啡那,地址:鼓山区美术东二路3号 ,+886-7-5520031
福泉布丁豆花,地址:高雄市鼓山区滨海一路91号 ,5214206
海庆澎湖活海鲜,地址:前镇区光华二路286号 ,7168855
旗津海产店,地址:高雄市旗津区庙前路35号 ,+886-7-5718771
碳佐麻里精品烧肉,地址:鼓山区美术东四路562号 ,+886-75526555
台湾第一家盐酥鸡,地址:高雄市苓雅区忠孝二路139号前 ,72429999
美丽岛站圆环肉燥饭,地址:高雄市新興區中山一路121號,
七賢鴨肉飯專賣店,地址:前金区七贤路220号 ,+886-2874562
阿Q冻圆,地址:鼓山區明倫路130號 ,5223455
江豪记 臭豆腐王,地址:新兴区民生二路40号 ,2016699
1010湘,地址:高雄市大树区学城路一段12号义大世界购物广场A区5楼,
蟳之屋,地址:高雄市新兴区民生一路93号 ,2266127
鸟蛋虾烧,地址:高雄市新兴区六合二路的摊位,
天使鸡排,地址:804台灣高雄市鼓山區裕誠路1128-1156號,
台铁便当本铺,地址:高雄市左营区高铁左营站内 ,3223915
蓝色狂想,地址:苓雅区五福一路111号 ,2270505
台湾第一肠大肠包小肠,地址:高雄市新兴区六合二路六合夜市内,
e豆赞无骨鸡脚冻,地址:高雄市新兴区六合夜市内 ,916958926
米糕城,地址:盐埕区大仁路107号 ,5333168
